"Timestamp","ConnectionStatus_NLR_#_#_#"
"2026-01-12T14:42:25.0016682",1
"2026-01-13T01:30:08.1976207",0
"2026-01-13T09:20:25.6338314",0
"2026-01-13T13:30:08.1976207",0
"2026-01-13T14:42:24.5699135",1
"2026-01-14T01:30:08.1976207",0
"2026-01-14T02:42:24.5699135",1
"2026-01-14T09:20:11.3866838",0
"2026-01-14T13:30:08.1976207",0
"2026-01-14T14:56:44.6433513",1
"2026-01-15T01:30:08.1976207",0
"2026-01-15T09:20:19.0114608",0
"2026-01-15T13:30:08.1976207",0
"2026-01-15T14:42:35.3031603",1
"2026-01-16T01:30:08.1976207",0
"2026-01-16T09:20:36.228826",0
"2026-01-16T13:30:08.1976207",0
"2026-01-16T14:39:29.4568283",1
"2026-01-17T01:30:08.1976207",0
"2026-01-17T09:21:16.5254669",0
"2026-01-17T13:30:08.1976207",0
"2026-01-17T14:40:13.7786158",1
"2026-01-18T01:30:08.1976207",0
"2026-01-18T09:19:57.086759",0
"2026-01-18T13:30:08.1976207",0
"2026-01-18T14:41:42.7800732",1
"2026-01-19T01:30:08.1976207",0
"2026-01-19T09:21:12.0093454",0
"2026-01-19T13:30:08.1976207",0
"2026-01-19T14:42:07.9153088",1
"2026-01-20T01:30:08.1976207",0
"2026-01-20T09:21:20.7888219",0
"2026-01-20T13:30:08.1976207",0
"2026-01-20T14:39:56.3880358",1
"2026-01-21T01:30:08.1976207",0
"2026-01-21T09:20:06.7918111",0
"2026-01-21T13:30:08.1976207",0
"2026-01-21T14:40:44.3923506",1
"2026-01-22T01:30:08.1976207",0
"2026-01-22T09:19:56.5671542",0
"2026-01-22T13:30:08.1976207",0
"2026-01-22T14:40:05.3748689",1
"2026-01-23T01:30:08.1976207",0
"2026-01-23T09:20:58.7917483",0
"2026-01-23T13:30:08.1976207",0
"2026-01-23T14:40:05.9390009",1
"2026-01-24T01:30:08.1976207",0
"2026-01-24T09:22:07.3095966",0
"2026-01-24T13:30:08.1976207",0
"2026-01-24T14:41:13.0442254",1
"2026-01-25T01:30:08.1976207",0
"2026-01-25T09:21:42.2907678",0
"2026-01-25T13:30:08.1976207",0
"2026-01-25T14:40:21.0788793",1
"2026-01-26T01:30:08.1976207",0
"2026-01-26T09:19:54.6453771",0
"2026-01-26T13:30:08.1976207",0
"2026-01-26T14:40:20.6752792",1
"2026-01-27T01:30:08.1976207",0
"2026-01-27T09:19:47.6986785",0
"2026-01-27T13:30:08.1976207",0
"2026-01-27T14:41:04.4826571",1
"2026-01-28T01:30:08.1976207",0
"2026-01-28T09:21:17.1823819",0
"2026-01-28T13:30:08.1976207",0
"2026-01-28T14:41:08.9236702",1
"2026-01-29T01:30:08.1976207",0
"2026-01-29T09:19:13.0116459",0
"2026-01-29T13:30:08.1976207",0
"2026-01-29T14:41:58.3637178",1
"2026-01-30T01:30:08.1976207",0
"2026-01-30T09:19:40.9970282",0
"2026-01-30T13:30:08.1976207",0
"2026-01-30T14:39:28.2035748",1
"2026-01-31T01:30:08.1976207",0
"2026-01-31T09:21:36.8789584",0
"2026-01-31T13:30:08.1976207",0
"2026-01-31T14:40:28.9495698",1
"2026-02-01T01:30:08.1976207",0
"2026-02-01T09:20:02.8718706",0
"2026-02-01T13:30:08.1976207",0
"2026-02-01T14:41:11.2069659",1
"2026-02-02T01:30:08.1976207",0
"2026-02-02T09:20:25.5009353",0
"2026-02-02T13:30:08.1976207",0
"2026-02-02T14:41:08.6215195",1
"2026-02-03T01:30:08.1976207",0
"2026-02-03T09:20:09.6327748",0
"2026-02-03T13:30:08.1976207",0
"2026-02-03T14:40:48.59928",1
"2026-02-04T01:30:08.1976207",0
"2026-02-04T09:21:38.2766976",0
"2026-02-04T13:30:08.1976207",0
"2026-02-04T14:41:22.2747392",1
"2026-02-05T01:30:08.1976207",0
"2026-02-05T09:21:32.7255511",0
"2026-02-05T13:30:08.1976207",0
"2026-02-05T14:40:59.0065594",1
"2026-02-06T01:30:08.1976207",0
"2026-02-06T09:21:13.7877246",0
"2026-02-06T13:30:08.1976207",0
"2026-02-06T14:40:01.4500806",1
"2026-02-07T01:30:08.1976207",0
"2026-02-07T09:21:21.2521748",0
"2026-02-07T13:30:08.1976207",0
"2026-02-07T14:43:42.2402291",1
"2026-02-08T01:30:08.1976207",0
"2026-02-08T09:19:21.7164423",0
"2026-02-08T13:30:08.1976207",0
"2026-02-08T14:42:01.1389287",1
"2026-02-09T01:30:08.1976207",0
"2026-02-09T09:22:11.4327383",0
"2026-02-09T13:30:08.1976207",0
"2026-02-09T14:40:13.2428083",1
"2026-02-10T01:30:08.1976207",0
"2026-02-10T09:21:33.8730167",0
"2026-02-10T13:30:08.1976207",0
"2026-02-10T14:42:32.9664378",1
"2026-02-11T01:30:08.1976207",0
"2026-02-11T09:21:11.0567147",0
"2026-02-11T13:30:08.1976207",0
